Temperature,n_H,Metallicity,Value
4.800661496525569,2.3536016108716393,0.0,1.5503e-17
5.999999987956976,-0.3519620217996547,0.0,2.6734e-23
5.257869113730784,3.970886966938942,0.0,4.4743e-14
5.523475542820808,-2.335777168533243,0.0,2.3906e-28
4.422640853821566,3.0503230064878712,0.0,1.3912e-16
5.150883327340859,0.6207004517600987,0.0,7.989e-21
2.439843936940122,0.7757628890957621,0.0,3.8427e-23
2.0834317121489736,-2.99070788708654,0.0,4.164e-32
5.204954373800667,-1.8971901703827874,0.0,4.1087e-27
4.110519121559491,2.501535324315599,0.0,2.3743e-18
5.62790301710383,-2.8067783646468163,0.0,1.6424e-29
3.9918309827928438,1.6526897170403188,0.0,1.4015e-20
5.3518824192241725,3.8176620997445263,0.0,2.2753e-14
3.1480401664556728,-3.999999908178404,0.0,1.5981e-33
5.847981909863051,0.30986867859215017,0.0,6.102e-22
2.004740959173738,-2.2382827405700425,0.0,2.3611e-30
2.0005761609072437,-1.1673711859260774,0.0,4.0915e-27
3.0047798809176447,-3.6402795692241927,0.0,6.8661e-33
6.0,4.0,0.0,1.3999e-14
4.313112422752414,-0.15000091290452905,0.0,1.2379e-23
3.265140103651699,-1.1350253145864617,0.0,3.7083e-26
2.0000001988307208,-1.2067719704732784,0.0,3.274e-27
4.369302067914707,3.999999995497182,0.0,1.1599e-14
2.651756047731528,2.380003713659491,0.0,1.5469e-20
4.496297937211959,-0.37973652628725507,0.0,9.2648e-24
2.0000109428376347,0.5465996109451541,0.0,5.6797e-24
2.8173249158624847,0.6842260614990753,0.0,4.6144e-23
5.999909474117642,-2.454782609464006,0.0,1.2115e-28
3.968298521859944,1.507714737525082,0.0,6.4034e-21
2.7990110112220052,-2.1986742952549685,0.0,7.0092e-29
5.567817899020867,1.6157541899372942,0.0,4.0281e-19
5.999999660198655,-1.05351042492801,0.0,9.3503e-25
2.973212626440312,-1.4009226491228366,0.0,8.8085e-27
5.738330241711687,2.8209202498628443,0.0,7.9734e-17
5.999781098648086,0.8918067866360617,0.0,8.5213e-21
5.359659097564729,3.8882521901346414,0.0,3.1541e-14
4.194098783031534,1.2396106172908476,0.0,1.0174e-20
2.8023163580110673,2.171145815029709,0.0,1.01e-20
3.7739450896344024,-3.999999999800119,0.0,3.3174e-33
3.062633982385486,-3.5380403922417654,0.0,1.1686e-32
4.250743543605849,1.5400527601827836,0.0,9.3382e-20
3.5178677938323553,3.927992588849294,0.0,8.9501e-18
2.114917583413315,-2.0280710005584055,0.0,1.6261e-29
3.886484378105486,3.0458657481641143,0.0,1.7392e-18
4.530016805992402,-0.9549879020006217,0.0,3.6348e-25
2.6666666666666665,-1.3333333333333335,0.0,6.8159e-27
2.3709565322598243,1.2664415135774871,0.0,1.8861e-22
2.453422336481462,0.80001630340924,0.0,4.3174e-23
2.5395372816142916,2.5222516734742326,0.0,1.8934e-20
4.133296433748881,0.8806789243181505,0.0,8.5565e-22
3.577402496761756,3.999999999525558,0.0,1.3207e-17
2.0038288471372803,-1.8640715035302726,0.0,3.9036e-29
2.726601654152855,-2.3241711981384086,0.0,2.2666e-29
2.962773553024128,-0.13924516778206897,0.0,2.0556e-24
2.0127445252840923,-2.981309609171565,0.0,4.0041e-32
3.7143794276155275,-2.18569649158419,0.0,6.1393e-29
5.999999255710259,0.9668045022905849,0.0,1.2041e-20
3.845116914018896,-0.49027162796140134,0.0,5.8216e-25
5.999969506633702,0.26028986828621026,0.0,4.6142e-22
5.143936940001366,-0.09072374334050795,0.0,2.6736e-22
2.300100118240727,-1.742662069818573,0.0,2.5051e-28
2.0000000238818654,0.42934686664851973,0.0,3.7335e-24
2.0000000000119638,-1.8304791851055702,0.0,4.9918e-29
2.0004657566254216,-2.322691838791001,0.0,1.3035e-30
4.737536246762417,2.6705979494022536,0.0,5.0269e-17
5.507384315316455,-0.7781457080284728,0.0,4.919e-24
2.0000029172141285,-3.641371295609231,0.0,2.0813e-33
4.421021169831633,-2.804590579948348,0.0,2.2928e-30
5.987236567727743,-2.4566288536645637,0.0,1.1921e-28
5.999999998983913,-1.1791060933046442,0.0,4.9649e-25
5.89615191865084,0.58602273048735,0.0,2.1051e-21
5.999993045697287,0.35639865755015,0.0,7.1974e-22
4.266271139867498,2.0505702857314767,0.0,1.5365e-18
4.130683892133763,1.8933631271279379,0.0,1.6998e-19
4.138216404399708,0.20957153662800435,0.0,3.0135e-23
5.157826323165704,-2.979611918206172,0.0,3.4128e-30
2.711639445387798,-2.253760189637872,0.0,3.6865e-29
2.5666363178924105,-2.265231313612879,0.0,2.0749e-29
2.347711074418809,-2.481799007169797,0.0,1.5051e-30
2.688588168663384,-3.0550375789545514,0.0,7.5402e-32
2.000002969662549,-1.1548657916707823,0.0,4.3781e-27
4.713187797606839,2.8329046893267353,0.0,9.5624e-17
2.378563705856803,-2.126075498482851,0.0,2.6686e-29
2.058233759931733,-3.006562761921436,0.0,3.7506e-32
4.070530904939012,-0.9445365215776002,0.0,7.8641e-26
5.999992235081684,-2.1055582715861516,0.0,7.5408e-28
5.074152045888351,3.0853295804126324,0.0,7.2241e-16
5.984596716920025,-1.0861540354148933,0.0,7.9558e-25
4.662713539110883,-0.5150816980450893,0.0,8.5258e-24
5.0243438126252,-3.5212208473455284,0.0,1.6264e-31
3.1879542744888307,-3.999999974754154,0.0,1.6732e-33
3.093959652770507,3.9628718583484597,0.0,4.9217e-18
3.4552059055446427,2.474382190305756,0.0,6.4371e-20
3.8571091061978358,3.060043778275072,0.0,1.5687e-18
2.0000003393987846,3.782530252021611,0.0,6.2877e-20
3.9541548897496135,3.159354982305216,0.0,4.1405e-18
5.070221601160393,2.059681591868899,0.0,6.4366e-18
3.9963396670411164,3.0782444905013593,0.0,4.734e-18
3.8422698459943065,-2.369655315479891,0.0,2.2221e-29
6.0,-4.0,0.0,4.8216e-32
5.999991810647958,-0.44616546726436984,0.0,1.7176e-23
3.607940512655622,-1.9918009124069154,0.0,3.1058e-28
5.348354289759071,-2.265531487987829,0.0,3.7095e-28
4.69578508403856,3.999999997671689,0.0,1.8161e-14
5.999970278221378,-1.664152830965146,0.0,1.6986e-26
3.926890113089826,3.9993533194234545,0.0,6.1598e-17
5.227055676478825,-2.8233135859469947,0.0,9.3601e-30
2.594202433565153,-0.07344271352577658,0.0,1.9724e-24
5.999991797254348,2.2068935859323258,0.0,3.6447e-18
2.0000190606104673,-3.399946431574554,0.0,6.1188e-33
5.940893758586553,0.016158855781933212,0.0,1.4928e-22
4.515881560847027,-2.4975275261312495,0.0,1.849e-29
3.9168988044423925,1.9236347572566426,0.0,2.9987e-20
4.074337532359922,1.9229597282088648,0.0,9.876e-20
3.97391419728985,-0.48008630680124237,0.0,6.7809e-25
4.0,-4.0,0.0,4.3409e-33
2.7700342411146073,-2.6154094071407314,0.0,2.2973e-30
4.517327031403848,0.19082122305762045,0.0,2.1498e-22
2.0000034362735986,-0.6493133515569296,0.0,5.1426e-26
3.7191553896822205,1.4406457949190514,0.0,2.1775e-21
5.396728449973074,3.2446947097506733,0.0,1.6153e-15
5.4337678853394635,-1.9159671981457906,0.0,4.8783e-27
2.8254232626500135,-2.232128103759073,0.0,5.8863e-29
2.3346573186458865,-2.593526517032063,0.0,6.16e-31
2.667801703244639,3.9999984901868872,0.0,2.7893e-18
5.858439213549703,3.0178223456536104,0.0,1.5948e-16
4.1349438794361655,-2.9222695922987825,0.0,9.3189e-31
5.99999128871812,1.2359068396795059,0.0,4.1616e-20
2.3687043304402584,-2.122736807176601,0.0,2.6136e-29
2.2733804736541807,1.2706450299761674,0.0,1.4425e-22
5.196809560536494,2.6467282932672607,0.0,9.6897e-17
5.981546647422828,-2.903338221148003,0.0,1.3585e-29
4.544106412657528,-3.1066590017462468,0.0,5.633e-31
4.023829168857496,2.6843290355634593,0.0,1.4616e-18
5.999893959769047,0.8728767888738974,0.0,7.8089e-21
2.000000253310116,1.779942129451818,0.0,2.3352e-22
2.1689834645636292,-0.9763910296451415,0.0,1.7166e-26
4.444260232672342,-0.3836909697348121,0.0,6.979e-24
2.8634111564622815,2.706160730991484,0.0,6.4955e-20
5.999999520072424,1.7366667655141792,0.0,4.1794e-19
5.999999999161562,-3.5033361199272695,0.0,5.2468e-31
2.9015053627928977,3.2460429175771788,0.0,3.9007e-19
4.308668963511038,3.999999981350397,0.0,1.3831e-14
2.5374648022815167,-1.0009125728983679,0.0,2.8113e-26
3.7701160817031525,1.009800278676229,0.0,3.7159e-22
4.081634686538056,3.999999772084395,0.0,5.7962e-16
5.107153686732747,-2.681384331631276,0.0,1.7359e-29
5.167928773867856,-3.3000841538923202,0.0,6.3033e-31
4.097142959326477,0.7635003578154429,0.0,3.6846e-22
3.9286528831934464,-2.8191764071171423,0.0,1.716e-30
2.0021175389420915,-2.7737457863744206,0.0,1.0305e-31
2.9654667120465334,-0.8278986201475538,0.0,1.0332e-25
3.9067780156476246,-1.6861315768782488,0.0,1.475e-27
2.0000000019682167,-1.5816519510987213,0.0,3.0705e-28
3.3155716654010305,3.9584170373819916,0.0,6.5733e-18
5.265016091522293,3.965972633632704,0.0,4.3843e-14
2.5291923704491337,-2.370668134703955,0.0,7.8899e-30
5.934302638933977,3.222893530503913,0.0,3.9373e-16
2.687020685045499,-1.6516924737522531,0.0,1.4643e-27
4.618191232806522,-1.6367035440788729,0.0,5.5357e-27
