Temperature,n_H,Metallicity,Value
3.0872374808816163,-1.417323922963218,-0.9826339279322661,1.1031e-27
3.0957759331681394,-3.232274822511508,-0.00783188626317155,5.0626e-32
3.11263147388573,3.0304127066393427,-1.9655804101349823,6.1322e-21
3.169909895946995,3.7796668219796485,-0.9792230525679286,3.6738e-19
3.286928530542744,1.5634928623951339,-0.08463298427585075,1.6227e-21
3.301391495972658,2.7415294641624692,-1.0019436316347696,1.5129e-20
3.31032232929956,0.5578309389055571,-1.6092895639225027,1.9739e-24
3.3120117435805034,-2.8894425912522688,-1.002200310756297,2.3444e-31
3.3297289115032456,-3.982417376678309,-1.022123891325489,1.4742e-33
3.3822905438266986,2.704104463652264,-1.9643960863493029,4.5355e-21
3.3842167435335235,0.3489048189889086,-1.82757915191302,7.2011e-25
3.4572444922502155,-1.2381658584790012,-1.4324251372924333,1.3877e-27
3.4812432021831086,3.8059352030302027,-0.2261826118957243,3.3752e-18
3.4945816529111906,-2.9695961774782584,-0.12288802274414667,3.4379e-31
3.5231491097317593,-2.2087606286693275,-1.7667443024291156,7.2733e-30
3.5270540991585113,2.490295051581896,-1.7934951919514106,3.263e-21
3.576757388587982,-1.215425651478057,-0.44434950368169557,9.9859e-27
3.607141280103381,2.0556807123831784,-0.9998957415636018,2.4619e-21
3.6091342779404947,1.3324895336095153,-0.23901981462929459,6.7431e-22
3.6158946585816563,-1.1866509262462566,-1.1891962044135562,2.6309e-27
3.6371579975235866,3.9377021957482414,-0.16033064684387044,8.9976e-18
3.75165330458322,-3.9414510957796334,-1.9370396990874639,2.8956e-33
3.80013622472352,1.670062599688816,-1.846291646960999,3.237e-22
3.870009591406464,-2.079088832933131,-1.8315135414554367,1.8891e-29
3.94671545310856,0.6958452028098009,-0.24163250096527766,7.722e-23
3.9480079087741924,-0.16858829439098674,-1.3390709590560885,2.2717e-25
3.9801181207899377,2.7977843168935785,-0.9964867493074193,3.7892e-19
4.016198786452724,1.0290908776932315,-1.3342686281589344,1.0006e-22
4.024977861814747,2.436865994994709,-0.647867828688936,2.5197e-19
4.02608658147191,-1.3335274540538342,-1.0438262207355884,1.4996e-27
4.127003210620902,-1.2870568841692667,-0.6208100307308063,3.726e-27
4.203453697759858,-3.9921829335655064,-1.597090804485969,4.1086e-33
4.206826285380277,-3.8982847811203465,-0.2803824145251786,7.6047e-33
4.252069471156245,-3.9362555742330505,-0.7533806185841756,5.9877e-33
4.260229863905144,3.4834318228880745,-1.9584090707047617,1.2107e-15
4.2709573610642195,2.4750978424884043,-1.435863305270403,1.069e-17
4.309685770651521,-0.003676433251026353,-1.5196363522401515,7.4024e-24
4.454776787511238,-2.7716373828017438,-1.0615363632551207,1.7731e-30
4.537684487842352,3.5060508793415943,-0.3612904238491574,7.4682e-16
4.577344172810425,-2.1372698486471338,-1.2157827316084608,7.2113e-29
4.581802658887859,-1.2277680842791916,-0.6945674478454145,2.8836e-26
4.590835933184439,-1.2967951929724488,-1.299788895261448,1.2848e-26
4.598784778772816,-1.5245929978157644,-1.6151981785926681,2.8573e-27
4.610876521920133,-2.954347187001057,-1.5659019112512085,9.3436e-31
4.648196353460913,3.079421888585146,-1.8526796220956518,4.1552e-17
4.663257723271119,-0.0423351348858275,-1.0377995426775155,2.4272e-23
4.664762441248012,-1.3800158223631056,-0.014376843116375387,3.8108e-26
4.673079971516699,2.201932365957206,-1.3871902953140125,8.3455e-19
4.694691261526366,-2.7324474884501257,-1.9990149227855167,3.3519e-30
4.709414678580248,-1.0101469760289823,-0.15999758335549785,4.0148e-25
4.754985902731863,0.6999910610729132,-0.1665268205103249,4.0879e-21
4.768883171773114,-3.946659340579368,-1.9090850628880465,1.0698e-32
4.780686177226435,3.7434734843618127,-0.014249445224239609,8.0743e-15
4.782243825643696,-3.927767396072921,-0.6581340505398973,1.2753e-32
4.834291225477222,1.1928828447311193,-1.667157623330283,1.6218e-20
4.8657588633672475,0.9713428305905223,-0.01815034682498094,3.1536e-20
4.920634859018678,-1.3315213932007477,-0.999679277107943,2.8477e-26
5.092461601898362,-1.244971886516593,-0.3935620295731651,1.515e-25
